storyid,storytitle,sentence1,sentence2,sentence3,sentence4,sentence5
9a51198e-96f1-42c3-b09d-a3e1e067d803,Overweight Kid,Dan's parents were overweight.,Dan was overweight as well.,The doctors told his parents it was unhealthy.,His parents understood and decided to make a change.,They got themselves and Dan on a diet.
617e7ada-3878-488d-bd56-40695b91f053,The Bike Accident,Carrie had just learned how to ride a bike.,She didn't have a bike of her own.,Carrie would sneak rides on her sister's bike.,She got nervous on a hill and crashed into a wall.,The bike frame bent and Carrie got a deep gash on her leg.
79b0da1f-e460-4173-ba58-8c9e2553c53a,Beach,Morgan enjoyed long walks on the beach.,She and her boyfriend decided to go for a long walk.,"After walking for over a mile, something happened.",Morgan decided to propose to her boyfriend.,Her boyfriend was upset he didn't propose to her first.
d173b7de-4611-4cdf-934c-912834755e41,The bad customer.,Jane was working at a diner.,"Suddenly, a customer barged up to the counter.",He began yelling about how long his food was taking.,Jane didn't know how to react.,"Luckily, her coworker intervened and calmed the man down."
af0fd5a4-de36-47ba-8aa2-e99d10986d7a,Being Patient,I was talking to my crush today.,She continued to complain about guys flirting with her.,I decided to agree with what she says and listened to her patiently.,"After I got home, I got a text from her.",She asked if we can hang out tomorrow.
5d5e7aeb-332f-4c8b-a3c3-44585501e493,Foolish Frank,Frank had been drinking beer.,"He got a call from his girlfriend, asking where he was.",Frank suddenly realized he had a date that night.,"Since Frank was already a bit drunk, he could not drive.",Frank spent the rest of the night drinking more beers.
bdceebb0-c6e8-417f-b6ae-741a0a71fcd3,Shark Adventure,Dave was in the Bahamas on vacation.,He decided to go snorkeling on his second day.,"While snorkeling, he saw a cave up ahead.","He went into the cave, and he was terrified when he found a shark!","Dave swam away as fast as he could, but the shark caught and ate Dave."
a4a9aaca-d3d4-46b4-807c-ef75aea68c56,Too sunny for Sunny,Sunny enjoyed going to the beach.,"As she stepped out of her car, she realized she forgot something.",It was quite sunny and she forgot her sunglasses.,Sunny got back into her car and heading towards the mall.,Sunny found some sunglasses and headed back to the beach.
8ddc9d26-d253-4eb3-b621-9a4e6d9c57e0,The Merry Widow,Sally was happy when her widowed mom found a new man.,She discovered her siblings didn't feel the same.,Sally flew to visit her mom and her mom's new husband.,"Although her mom was obviously in love, he was nothing like her dad.",Sally went home and wondered about her parents' marriage.
80ff5d8f-bcb1-437b-9da1-71c52997def2,Golf Cheat,Dan hit his golf ball and watched it go.,The ball bounced on the grass and into the sand trap.,Dan pretended that his ball actually landed on the green.,His friends were not paying attention so they believed him.,Dan snuck a ball on the green and made his putt from 10 feet.
f205679f-a512-4c69-8c70-4c5d081bc162,Josh's Bird,Josh had a parrot that talked.,He brought his parrot to school.,"During show and tell, Josh's parrot said a bad word.",The teacher told Joshua not to bring his bird again.,"When Josh got home, he was grounded."
e88711d0-3e7e-4b6f-a36e-d4dce15969f4,Leash,Hal was walking his dog one morning.,A cat ran across their path.,"Hal's dog strained so hard, the leash broke!",He chased the cat for several minutes.,Finally Hal lured him back to his side.
